id,choice1,choice2,state,money
11734_20220919,1,2,2,1
11734_20220919,1,2,2,0
11734_20220919,1,2,2,1
11734_20220919,1,1,3,1
11734_20220919,1,1,3,1
11734_20220919,1,2,2,0
11734_20220919,1,2,2,1
11734_20220919,1,2,2,1
11734_20220919,1,2,2,1
11734_20220919,1,1,3,1
11734_20220919,1,2,2,1
11734_20220919,1,1,3,0
11734_20220919,1,2,2,0
11734_20220919,1,1,3,1
11734_20220919,1,2,2,0
11734_20220919,2,1,3,1
11734_20220919,2,1,3,1
11734_20220919,2,1,3,1
11734_20220919,2,1,3,1
11734_20220919,2,1,3,1
11734_20220919,2,1,3,1
11734_20220919,2,1,3,1
11734_20220919,2,1,3,1
11734_20220919,2,1,3,0
11734_20220919,2,1,3,0
11734_20220919,1,1,2,0
11734_20220919,2,2,3,0
11734_20220919,1,2,2,0
11734_20220919,1,1,2,1
11734_20220919,1,1,2,1
11734_20220919,1,1,2,0
11734_20220919,1,1,3,0
11734_20220919,1,2,3,0
11734_20220919,1,1,2,0
11734_20220919,1,2,3,0
11734_20220919,1,1,2,1
11734_20220919,1,1,3,0
11734_20220919,1,1,2,0
11734_20220919,1,2,3,1
11734_20220919,1,1,2,0
11734_20220919,1,2,2,0
11734_20220919,2,2,2,1
11734_20220919,2,2,2,0
11734_20220919,2,2,3,1
11734_20220919,2,2,3,0
11734_20220919,2,2,3,0
11734_20220919,2,2,2,1
11734_20220919,1,2,2,1
11734_20220919,1,2,2,1
11734_20220919,1,2,2,0
11734_20220919,1,2,2,0
11734_20220919,1,2,3,1
11734_20220919,2,2,3,0
11734_20220919,2,2,3,0
11734_20220919,1,2,3,0
11734_20220919,1,1,3,1
11734_20220919,1,2,2,1
11734_20220919,1,2,2,1
11734_20220919,1,2,2,1
11734_20220919,1,2,2,0
11734_20220919,1,2,3,0
11734_20220919,1,2,2,0
11734_20220919,2,2,2,0
11734_20220919,2,1,2,0
11734_20220919,2,1,2,1
11734_20220919,2,1,3,1
11734_20220919,2,1,3,1
11734_20220919,2,1,3,0
11734_20220919,2,1,3,0
11734_20220919,1,2,2,0
11734_20220919,1,2,2,1
11734_20220919,1,2,2,1
11734_20220919,1,2,2,1
11734_20220919,1,2,2,0
11734_20220919,1,2,2,1
11734_20220919,1,2,3,1
11734_20220919,1,2,2,0
11734_20220919,1,2,3,0
11734_20220919,1,2,3,0
11734_20220919,1,1,3,0
11734_20220919,1,2,2,1
11734_20220919,1,2,2,1
11734_20220919,1,2,2,0
11734_20220919,1,2,2,0
11734_20220919,1,2,2,0
11734_20220919,1,1,2,1
11734_20220919,1,1,2,0
11734_20220919,1,1,3,1
11734_20220919,2,1,3,0
11734_20220919,1,1,2,1
11734_20220919,1,1,2,1
11734_20220919,1,1,3,1
11734_20220919,1,1,2,0
11734_20220919,1,1,2,0
11734_20220919,1,1,2,0
11734_20220919,2,1,3,1
11734_20220919,2,1,3,1
11734_20220919,2,1,2,1
11734_20220919,2,1,3,1
11734_20220919,2,1,2,1
11734_20220919,2,1,3,0
11734_20220919,2,1,2,0
11734_20220919,2,1,3,1
11734_20220919,2,2,2,1
11734_20220919,2,2,2,1
11734_20220919,2,1,2,0
11734_20220919,2,1,3,1
11734_20220919,2,1,3,0
11734_20220919,2,1,3,1
11734_20220919,2,0,2,0
11734_20220919,2,2,3,1
11734_20220919,2,1,2,0
11734_20220919,2,1,3,1
11734_20220919,2,1,3,1
11734_20220919,2,1,3,1
11734_20220919,2,2,2,0
11734_20220919,2,1,3,1
11734_20220919,2,1,3,0
11734_20220919,2,1,2,0
11734_20220919,2,1,3,1
11734_20220919,2,1,2,0
11734_20220919,2,1,3,1
11734_20220919,2,1,3,0
11734_20220919,2,1,2,1
11734_20220919,2,1,3,1
11734_20220919,2,1,3,0
11734_20220919,2,1,3,0
11734_20220919,2,2,3,0
11734_20220919,1,2,2,1
11734_20220919,1,2,3,0
11734_20220919,1,2,3,1
11734_20220919,1,2,3,0
11734_20220919,1,2,3,1
11734_20220919,1,2,3,1
11734_20220919,1,2,3,1
11734_20220919,1,2,2,0
11734_20220919,2,2,3,0
11734_20220919,2,2,3,0
11734_20220919,2,2,3,1
11734_20220919,2,2,2,1
11734_20220919,2,2,2,0
11734_20220919,2,1,3,1
11734_20220919,2,1,2,0
11734_20220919,2,2,2,1
11734_20220919,2,2,2,1
11734_20220919,2,2,2,0
11734_20220919,2,2,3,1
11734_20220919,2,2,3,1
11734_20220919,2,2,2,0
11734_20220919,2,2,3,0
11734_20220919,2,2,2,0
